Bremen Trinidadstraße,53.060028,8.893732,02:54:43,2024-02-28,night,23,23,0,,,
Bremen Werrahafen,53.051821,8.882936,02:54:43,2024-02-28,night,46,46,0,,,
Bremen Karl-Carstens-Brücke,53.054136,8.851033,02:54:43,2024-02-28,night,47,47,0,,,
Bremen Am Heiddamm,53.081534,8.939615,02:54:43,2024-02-28,night,35,35,0,,,
Bremen Am Heidbergstift,53.173944,8.697446,02:54:43,2024-02-28,night,67,67,0,,,
Bremen Willakedamm,53.04704,8.738244,02:54:43,2024-02-28,night,43,43,0,,,
Bremen Wilhelm-Röntgen-Straße,53.099801,8.886046,02:54:43,2024-02-28,night,46,46,0,,,
Bremen Wilhelm-Leuschner-Straße,53.079041,8.885502,02:54:43,2024-02-28,night,35,35,0,,,
Bremen Georg-Gries-Straße,53.071526,8.891394,02:54:43,2024-02-28,night,49,49,0,,,
Bremen Georg-Bitter-Straße,53.067212,8.854328,02:54:43,2024-02-28,night,34,34,0,,,
Bremen Gemeinschaftszentrum Obervieland,53.033976,8.830721,02:54:43,2024-02-28,night,38,38,0,,,
Bremen Apfelallee,53.100023,8.902449,02:54:43,2024-02-28,night,41,41,0,,,
Bremen Anna-Stiegler-Straße,53.040765,8.828041,02:54:43,2024-02-28,night,41,41,0,,,
Bremen An der Kämenade,53.059407,8.923097,02:54:43,2024-02-28,night,49,49,0,,,
Bremen Arberger Hafendamm,53.048331,8.883638,02:54:43,2024-02-28,night,51,51,0,,,
Bremen Beckers Barg,53.167736,8.709153,02:54:43,2024-02-28,night,47,47,0,,,
Bremen Bayernstraße,53.10645,8.795886,02:54:43,2024-02-28,night,38,38,0,,,
Bremen Barbarossastraße,53.079089,8.86074,02:54:43,2024-02-28,night,57,57,0,,,
Bremen Am Stern,53.084252,8.825747,02:54:43,2024-02-28,night,48,48,0,,,
Bremen An der Amtsweide,53.192782,8.534216,02:54:43,2024-02-28,night,51,51,0,,,
Bremen Ricardostraße,53.043253,8.970069,02:54:43,2024-02-28,night,115,115,0,,,
Bremen Rhododendronpark,53.090421,8.883697,02:54:43,2024-02-28,night,36,36,0,,,
Bremen Rennplatz,53.07149,8.886515,02:54:43,2024-02-28,night,49,49,0,,,
Bremen Aumunder Kirche,53.174872,8.624136,02:54:43,2024-02-28,night,34,34,0,,,
Bremen August-Bebel-Allee,53.085724,8.873569,02:54:43,2024-02-28,night,39,39,0,,,
Bremen Schorf,53.098408,8.892991,02:54:43,2024-02-28,night,45,45,0,,,
Bremen Vorlöhnhorster Weg,53.190798,8.635381,02:54:43,2024-02-28,night,45,45,0,,,
Bremen Von-Thünen-Straße Süd,53.039666,8.965659,02:54:43,2024-02-28,night,115,115,0,,,
Bremen Von-Thünen-Straße Nord,53.046056,8.969888,02:54:43,2024-02-28,night,115,115,0,,,
Bremen Vereinsstraße,53.176364,8.606265,02:54:43,2024-02-28,night,46,46,0,,,
Bremen Von-Ossietzky-Straße,53.138126,8.723107,02:54:43,2024-02-28,night,26,26,0,,,
Bremen Wilhelm-Busch-Weg,53.071391,8.906545,02:54:43,2024-02-28,night,50,50,0,,,
Bremen Wilhelm-Brandhorst-Straße,53.207915,8.514131,02:54:43,2024-02-28,night,50,50,0,,,
Bremen Wiener Straße,53.106152,8.845833,02:54:43,2024-02-28,night,40,40,0,,,
Bremen Wetterungsweg,53.11197,8.820089,02:54:43,2024-02-28,night,52,52,0,,,
Bremen Fürther Straße,53.099687,8.807555,02:54:43,2024-02-28,night,38,38,0,,,
Bremen Friedrich-Stampfer-Straße,53.086218,8.891447,02:54:43,2024-02-28,night,39,39,0,,,
Bremen An den Wühren,53.103655,8.902444,02:54:43,2024-02-28,night,39,39,0,,,
Bremen Amselweg,53.108065,8.796979,02:54:43,2024-02-28,night,48,48,0,,,
Bremen Allerkai,53.056754,8.877859,02:54:43,2024-02-28,night,50,50,0,,,
Bremen Alfred-Faust-Straße,53.029962,8.823292,02:54:43,2024-02-28,night,38,38,0,,,
Bremen Altenescher Straße,53.110403,8.769908,02:54:43,2024-02-28,night,35,35,0,,,
Bremen Betonstraße,53.203363,8.524038,02:54:43,2024-02-28,night,50,50,0,,,
Bremen Besanstraße,53.189418,8.566792,02:54:43,2024-02-28,night,36,36,0,,,
Bremen Rekumer Siel,53.218184,8.509509,02:54:43,2024-02-28,night,49,49,0,,,
Bremen Schneverdinger Straße,53.076633,8.880817,02:54:43,2024-02-28,night,42,42,0,,,
Bremen Schlengstraße,53.049696,8.892448,02:54:43,2024-02-28,night,32,32,0,,,
Bremen Schevemoorer Landstraße,53.077599,8.94024,02:54:43,2024-02-28,night,42,42,0,,,
Bremen Sollingstraße,53.042111,8.9124,02:54:43,2024-02-28,night,42,42,0,,,
Bremen Simon-Hermann-Post-Weg,53.090669,8.92496,02:54:43,2024-02-28,night,48,48,0,,,
Bremen Sielwall,53.07075,8.82349,02:54:43,2024-02-28,night,25,25,0,,,
Bremen Bahnhof Turnerstraße,53.193991,8.545544,02:54:43,2024-02-28,night,36,36,0,,,
Bremen Stuttgarter Straße,53.097205,8.816292,02:54:43,2024-02-28,night,39,39,0,,,
Bremen Dobbheide,53.191307,8.631397,02:54:43,2024-02-28,night,42,42,0,,,
Bremen Dobbenweg,53.078669,8.826308,02:54:43,2024-02-28,night,40,40,0,,,
Bremen Dithmarscher Freiheit,53.102444,8.799509,02:54:43,2024-02-28,night,68,68,0,,,
