"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
000008001315,000008001315,2,240,,,,
000008001279,000008001279,2,300,,,,
000008005102,000008005102,2,300,,,,
000008005104,000008005104,2,300,,,,
000008005106,000008005106,2,300,,,,
000008001558,000008001558,2,300,,,,
000008000971,000008000971,2,240,,,,
000000845114,000000845114,2,120,,,,
000000845113,000000845113,2,120,,,,
000000845110,000000845110,2,120,,,,
000000845111,000000845111,2,120,,,,
000008013025,000008013025,2,120,,,,
000008000859,000008000859,2,300,,,,
000008005340,000008005340,2,180,,,,
000008011629,000008011629,2,120,,,,
000000847200,000000847200,2,120,,,,
000008000797,000008000797,2,300,,,,
000000847208,000000847208,2,120,,,,
000008000796,000008000796,2,300,,,,
000008013548,000008013548,2,300,,,,
000008004589,000008004589,2,300,,,,
000000846906,000000846906,2,120,,,,
000000846907,000000846907,2,120,,,,
000000846904,000000846904,2,120,,,,
000000846905,000000846905,2,120,,,,
000000846902,000000846902,2,120,,,,
000000846903,000000846903,2,120,,,,
000000846900,000000846900,2,120,,,,
000000846901,000000846901,2,120,,,,
000000846908,000000846908,2,120,,,,
000000846909,000000846909,2,120,,,,
000000847206,000000847206,2,120,,,,
000000847204,000000847204,2,120,,,,
000000847205,000000847205,2,120,,,,
000000847202,000000847202,2,120,,,,
000000847203,000000847203,2,120,,,,
000000847441,000000847441,2,120,,,,
000008000004,000008000004,2,300,,,,
000000848018,000000848018,2,120,,,,
000000848130,000000848130,2,120,,,,
000008000953,000008000953,2,300,,,,
000008003400,000008003400,2,180,,,,
000008000957,000008000957,2,300,,,,
000008005638,000008005638,2,300,,,,
000008013004,000008013004,2,120,,,,
000008013005,000008013005,2,300,,,,
000008005047,000008005047,2,300,,,,
000008005635,000008005635,2,300,,,,
000000847445,000000847445,2,120,,,,
000000847442,000000847442,2,120,,,,
000000847440,000000847440,2,120,,,,
000000848019,000000848019,2,120,,,,
000008010099,000008010099,2,240,,,,
000000831112,000000831112,2,120,,,,
000000831110,000000831110,2,120,,,,
000000831111,000000831111,2,120,,,,
000000848016,000000848016,2,120,,,,
000000848014,000000848014,2,120,,,,
000000848013,000000848013,2,120,,,,
000000848012,000000848012,2,120,,,,
000000848011,000000848011,2,120,,,,
000000848010,000000848010,2,120,,,,
000008013547,000008013547,2,300,,,,
000000848251,000000848251,2,120,,,,
000000831071,000000831071,2,120,,,,
