stop_id,stop_name,stop_lat,stop_lon
9013796,Bremen Burgdammer Ring,53.169682,8.712631
9013799,Bremen Busestraße,53.094999,8.837678
9013875,Bremen Friedrich-Karl-Straße,53.075347,8.844205
9013872,Bremen Friedhof Huckelriede,53.050376,8.828599
9013876,Bremen Friedrich-Mißler-Straße,53.08715,8.871199
9014149,Bremen Riespot,53.129117,8.711446
9014148,Bremen Riensberg,53.096659,8.853667
9014147,Bremen Riedemannstraße,53.135024,8.715458
9014007,Bremen Klinikum Bremen-Ost,53.066199,8.943872
9013793,Bremen Burger Dorfstraße,53.155015,8.70459
9013791,Bremen Bulthauptstraße,53.088359,8.832825
9013788,Bremen Brünsweg,53.044354,8.897381
9013869,Bremen Fresenbergstraße,53.18387,8.573123
9013863,Bremen Flughafen,53.053572,8.785182
9013871,Bremen Friedhof Huchting,53.038981,8.728576
9014202,Bremen St.-Magnus-Straße,53.092578,8.784457
9014201,Bremen St.-Jürgen-Straße,53.070832,8.833699
9014166,Bremen Sandkuhlenweg,53.225303,8.510034
9013949,Bremen Hermann-Osterloh-Straße,53.039052,8.932274
9013947,Bremen Hermann-Koenen-Straße,53.071088,8.916126
9013946,Bremen Hermann-Helms-Straße,53.033495,8.850653
9013945,Bremen Hermann-Funk-Straße,53.056807,8.880991
9013818,Bremen Daniel-von-Büren-Straße,53.084905,8.803072
9013780,Bremen Brandenburger Straße,53.082128,8.867423
9013786,Bremen Brunnenstraße,53.072248,8.82864
9014162,Bremen Ruppertshainer Straße,53.044297,8.922371
9014160,Bremen Rotterdamer Straße,53.040909,8.731048
9014159,Bremen Rotes-Kreuz-Krankenhaus,53.067584,8.802223
9014158,Bremen Rotdornallee,53.173313,8.688119
9014165,Bremen Saarstraße,53.059599,8.90939
9013942,Bremen Herbststraße,53.090874,8.805639
9013941,Bremen Herbartstraße,53.188459,8.640607
9013764,Bremen Bf Klinikum Bremen-Nord,53.183616,8.595786
9014121,Bremen Panrepel-Süd,53.042473,8.961146
9014120,Bremen Panrepel-Nord,53.045949,8.965827
9014118,Bremen Otto-Braun-Straße,53.086101,8.886604
9014123,Bremen Parkallee,53.099188,8.837012
9013963,Bremen Hohwisch,53.066139,8.860588
9013959,Bremen Hohenhorster Weg,53.044809,8.736153
9013965,Bremen Holsteiner Straße,53.103246,8.794121
9013984,Bremen Jadestraße,53.104172,8.769148
9013987,Bremen Joseph-Haydn-Straße,53.087351,8.837268
9013814,Bremen Crüsemannallee,53.091492,8.834986
9013813,Bremen Ermlandstraße,53.196601,8.549472
9013811,Bremen Colshornstraße,53.038246,8.925009
9013980,Bremen Im Holze,53.099087,8.921967
9013979,Bremen Im Holter Feld,53.071527,8.902785
9013864,Bremen Flughafen-Süd,53.050555,8.789792
9013807,Bremen Carl-Hurtzig-Straße,53.055035,8.739491
9013806,Bremen Carl-Goerdeler-Straße,53.079302,8.896774
9013805,Bremen Campingplatz,53.115035,8.833152
9013810,Bremen Christernstraße,53.054497,8.894109
9013778,Bremen Bottroper Straße,53.071947,8.920571
9013777,Bremen Borgwardstraße,53.045739,8.844893
9013779,Bremen Brahmsstraße,53.085909,8.831126
9013995,Bremen Karl-Peters-Straße,53.095457,8.782206
9013993,Bremen Karl-Bröger-Straße,53.124857,8.7489
9013725,Bremen Auf dem Pasch,53.167455,8.685111
9013724,Bremen Auf dem Krümpel,53.173164,8.640018
9013721,Bremen Ascherfeld,53.178477,8.624792
9013728,Bremen Auf der Sandhöhe,53.080088,8.709937
9014116,Bremen Osterhop,53.052712,8.8993
9014114,Bremen Osterholzer Landstraße,53.074053,8.936052
9014117,Bremen Ostwaldstraße,53.111033,8.892938
9013958,Bremen Hohenesch,53.21337,8.511061
9014132,Bremen Poggenburg,53.065226,8.932828
9014131,Bremen Piependamm,53.041519,8.850432
9013918,Bremen Hansator,53.089025,8.784695
9013917,Bremen Hannoversche Straße,53.055731,8.884861
9013916,Bremen Hanfstraße,53.191441,8.53842
9013914,Bremen Hakenwehrstraße,53.189758,8.571367
9013919,Bremen Hansestraße,53.091659,8.791314
9014133,Bremen Polizeipräsidium,53.079174,8.878882
9013988,Bremen Helene-Lange-Straße,53.050944,8.836268
9013992,Bremen Kapitän-König-Weg,53.101114,8.916252
9013718,Bremen Arster Kirche,53.030817,8.850603
9013951,Bremen Heukämpendamm,53.032453,8.838985
9013715,Bremen Arensburgstraße,53.078505,8.855109
9014306,Bremen Wätjenstraße,53.094811,8.850289
9014274,Bremen Wasserturm,53.186622,8.572564
9014271,Bremen Wartburgstraße,53.093473,8.788962
9014278,Bremen Weidedamm-Süd,53.096293,8.819184
9013785,Bremen Bruchhauser Straße,53.039086,8.834853
9013679,Bremen Am Brill (Bgm.-Smidt-Straße),53.078676,8.799969
9013971,Bremen Huckelriede,53.051804,8.819524
9014299,Bremen Willigstraße,53.059,8.80887
9013730,Bremen August-Hinrichs-Straße,53.060767,8.804383
9013704,Bremen Am Wall,53.080303,8.803852
9014014,Bremen Kopernikusstraße,53.109036,8.887189
9013817,Bremen Daniel-Jacobs-Allee,53.123781,8.900069
9013719,Bremen Arster Landstraße,53.028031,8.849956
9013717,Bremen Arster Hemm,53.024278,8.859401
9055739,Lilienthal Kutscher Behrens,53.15378,8.938184
9055734,Lilienthal Feldhäuser Straße,53.140108,8.905269
9014197,Bremen Solinger Straße,53.061769,8.773826
9014245,Bremen Universität-Süd,53.105197,8.850888
9055746,Lilienthal Trupe,53.138093,8.899341
9013768,Bremen Blumenthalstraße,53.083615,8.817761
9013720,Bremen Arsterdamm,53.046718,8.818351
9055743,Lilienthal Schoofmoor,53.153603,8.92211
9055729,Lilienthal Auf dem Kamp,53.154675,8.927243
9055728,Lilienthal,53.15833,8.945083
9013920,Bremen Harriersand,53.057678,8.728489
9013789,Bremen Brüsseler Straße,53.056144,8.716162
9014196,Bremen Soester Straße,53.034094,8.81067
9013936,Bremen Marßel,53.178579,8.724093
9014068,Bremen Mercedes-Benz Tor 7,53.062863,8.913942
9014155,Bremen Roland-Center,53.048336,8.741268
9014130,Bremen Philipp-Scheidemann-Straße,53.085865,8.879448
9013913,Bremen Haferwende,53.111887,8.878577
9013912,Bremen Haferkamp,53.08831,8.793641
9013910,Bremen Habenhauser Brückenstraße,53.050319,8.847649
9013991,Bremen Kap-Horn-Straße,53.115668,8.752608
9013989,Bremen Julius-Brecht-Allee,53.07467,8.869481
9013907,Bremen Gustavstraße,53.098159,8.788665
9013909,Bremen H.-H.-Meier-Allee,53.088944,8.842264
9014268,Bremen Waller Straße,53.106042,8.778567
9014267,Bremen Waller Ring,53.098533,8.776565
9014266,Bremen Waller Friedhof,53.108328,8.773632
9014059,Bremen Martin-Buber-Straße,53.035341,8.841133
9014057,Bremen Marschstraße,53.047316,8.892916
9014129,Bremen Pfarrfeldsweg,53.045353,8.851022
9014097,Bremen Neuwieder Straße,53.066796,8.96154
9014099,Bremen Norderländer Straße,53.058464,8.758757
9013933,Bremen Heisiusstraße,53.039044,8.916285
9013932,Bremen Heinrich-Hertz-Straße,53.082918,8.874987
9013931,Bremen Heiligenbergstraße,53.053487,8.953382
9013937,Bremen Helsingborger Straße,53.178584,8.71919
9013903,Bremen Grenzwehr,53.068245,8.938981
9014090,Bremen Neue Vahr Nord,53.086163,8.896131
9014214,Bremen Stehnckenshoff,53.168762,8.695165
9014211,Bremen Staustraße,53.04662,8.859413
9014076,Bremen Mittelshuchtinger Dorfstraße,53.056921,8.72305
9014077,Bremen Modersohnweg,53.094139,8.914759
9014207,Bremen Stadtwaldsee,53.114889,8.837954
9014073,Bremen Meyerstraße,53.064636,8.797028
9014126,Bremen Paul-Feller-Straße,53.055847,8.795915
9014089,Bremen Nedderland,53.092271,8.909687
9014088,Bremen Nauheimer Straße,53.044673,8.915057
9014093,Bremen Neuenlander Straße,53.066911,8.782459
9013925,Bremen Hauptbahnhof,53.081776,8.813177
9013851,Bremen Eppenhainer Straße,53.041521,8.931657
9013850,Bremen Engadiner Straße,53.066433,8.95569
9013849,Bremen Emmentaler Straße,53.069544,8.93453
9013847,Bremen Emmastraße,53.091346,8.845645
9013853,Bremen Erkelenzer Straße,53.077937,8.920951
9014310,Bremen Zum Kränholm,53.172469,8.67981
9014309,Bremen Zum Huchtinger Bahnhof,53.05814,8.735178
9014308,Bremen Zum Donaufleet,53.181632,8.567805
9014179,Bremen Schweizer Eck,53.064785,8.949679
9014206,Bremen Stader Straße/Hamburger Straße,53.068065,8.84893
9014203,Bremen Stackkamp,53.040671,8.904561
9014043,Bremen Loignystraße,53.082555,8.860005
9014049,Bremen Löhstraße,53.184836,8.59781
9014042,Bremen Lohmannstraße,53.09316,8.803987
9014041,Bremen Lloydstraße,53.086265,8.790106
9014109,Bremen Oslebshauser Landstraße,53.128701,8.729345
9014107,Bremen Ohmstraße,53.109118,8.891121
9014105,Bremen Obervielander Straße,53.051864,8.740732
9014106,Bremen Oewerweg,53.062134,8.931654
9014988,Brinkum(Stuhr) IKEA/Marktkauf,53.027399,8.802063
9014136,Bremen Rastenburger Straße,53.21403,8.583092
9013830,Bremen Domsheide,53.074432,8.80898
9014183,Bremen Schüsselkorb,53.077171,8.810675
9014141,Bremen Rembertistraße,53.080648,8.818683
9013683,Bremen Am Dobben,53.078596,8.823672
9014124,Bremen Parkstraße,53.079946,8.827942
9013964,Bremen Hollerallee,53.081271,8.831918
9014072,Bremen Metzer Straße,53.083254,8.842119
9014001,Bremen Kirchbachstraße,53.085023,8.849847
9013873,Bremen Friedhofstraße,53.088764,8.856269
9013866,Bremen Focke-Museum,53.090232,8.862913
9013803,Bremen Bürgermeister-Spitta-Allee,53.09124,8.871132
9013969,Bremen Horn (Horner Kirche),53.096627,8.870274
9014263,Bremen Vorstraße,53.101379,8.874424
9013970,Bremen Horner Mühle,53.101463,8.880136
9014280,Bremen Werner-von-Siemens-Straße,53.105213,8.884023
9014128,Bremen Peter-Henlein-Straße,53.113018,8.891596
9013697,Bremen Am Lehester Deich,53.118618,8.897191
9013957,Bremen Hohenbuchener Straße,53.21098,8.579634
9014239,Lilienthal Truperdeich,53.135267,8.898558
9013974,Bremen Höger Weg,53.115513,8.894018
9013769,Bremen Bockhorner Weg,53.192655,8.574816
9014060,Bremen Martin-Luther-Straße,53.188353,8.577122
9014213,Bremen Steenkuhlenweg,53.202561,8.571028
9013929,Bremen Hegeweg,53.20506,8.574616
9013739,Bremen Bahnhof Lesum,53.171129,8.684687
9013751,Bremen Bardenflethstraße,53.060398,8.765164
9014253,Bremen Verdunstraße,53.081052,8.843632
9013865,Bremen Flämische Straße,53.052665,8.715193
9014241,Bremen Twiedelftsweg,53.029071,8.838006
9013783,Bremen Brenningstraße,53.037378,8.837386
9014322,Bremen-Lesum Kirche,53.169581,8.688774
9014008,Bremen Klinikum Haupteingang,53.036445,8.817585
9013773,Bremen Borgfeld,53.127033,8.898829
9013795,Bremen Burgdammer Postweg,53.175454,8.706396
9014277,Bremen Weidedamm-Nord,53.099911,8.820266
9013998,Bremen Kattenescher Weg,53.030449,8.81252
9014212,Bremen Stedinger Brücke,53.094546,8.6664
9014048,Bremen Luley,53.088707,8.674244
9014215,Bremen Stellfeldsweg,53.086236,8.690978
9014330,Bremen-Strom Schule,53.083275,8.701513
9014026,Bremen Köhler Brücke,53.076718,8.722993
9013749,Bremen Bakeweg,53.092162,8.7508
9014153,Bremen Roccoweg,53.094408,8.748123
9014290,Bremen Wildeshauser Straße,53.082939,8.768963
9014134,Bremen Rablinghausen,53.096063,8.746105
9013939,Bremen Hemmstraße,53.094805,8.80845
