stop_name,stop_lat,stop_lon,current_time,current_date,daytime
Bremen-Burg(Bus),53.16061,8.704381,02:44:51,2024-02-16,night
Bremen Steubenstraße,53.071445,8.863627,02:44:51,2024-02-16,night
Bremen Dietrich-Bonhoeffer-Straße,53.078614,8.903285,02:44:51,2024-02-16,night
Bremen Glockenstraße/Bf Hemelingen,53.055964,8.888368,02:44:51,2024-02-16,night
Bremen Gottfried-Menken-Straße,53.062116,8.801724,02:44:51,2024-02-16,night
Bremen Mülheimer Straße,53.074913,8.925897,02:44:51,2024-02-16,night
Bremen An der Lehmkuhle,53.193711,8.566023,02:44:51,2024-02-16,night
Bremen Mühlenfeldstraße,53.089905,8.93411,02:44:51,2024-02-16,night
Bremen Hohweg,53.11159,8.797908,02:44:51,2024-02-16,night
Bremen Lise-Meitner-Straße,53.103608,8.855622,02:44:51,2024-02-16,night
Bremen Achterdiek,53.089206,8.900648,02:44:51,2024-02-16,night
Bremen Munte,53.10478,8.840919,02:44:51,2024-02-16,night
Bremen Agnes-Heineken-Straße,53.038759,8.832342,02:44:51,2024-02-16,night
Bremen Berliner Freiheit,53.079384,8.893002,02:44:51,2024-02-16,night
Bremen Beim Kleinen Tagwerk,53.09658,8.909506,02:44:51,2024-02-16,night
Bremen Beim Bohnenhof,53.051383,8.949641,02:44:51,2024-02-16,night
Bremen Berufsbildungswerk,53.102639,8.859212,02:44:51,2024-02-16,night
Schwanewede Insterburger Weg,53.219785,8.589594,02:44:51,2024-02-16,night
Bremen Landrat-Berthold-Straße,53.197066,8.571969,02:44:51,2024-02-16,night
Bremen Ringofenstraße,53.207153,8.578497,02:44:51,2024-02-16,night
Bremen Wätjens Park,53.17999,8.588774,02:44:51,2024-02-16,night
Bremen Fährgrund,53.175321,8.612803,02:44:51,2024-02-16,night
Bremen Bremer Vulkan,53.177414,8.601612,02:44:51,2024-02-16,night
Bremen Bahnhof Vegesack,53.169621,8.627897,02:44:51,2024-02-16,night
Bremen Senator-Theil-Straße,53.037688,8.851272,02:44:51,2024-02-16,night
Bremen Stenumer Straße,53.054889,8.814727,02:44:51,2024-02-16,night
Bremen Stellichter Straße,53.071641,8.882724,02:44:51,2024-02-16,night
Bremen Deliusweg,53.089179,8.892313,02:44:51,2024-02-16,night
Bremen Delfter Straße,53.043866,8.723196,02:44:51,2024-02-16,night
Bremen Egestorff-Stiftung,53.057474,8.954588,02:44:51,2024-02-16,night
Bremen Düsseldorfer Straße,53.073339,8.930294,02:44:51,2024-02-16,night
Bremen Hüttenhafen,53.131649,8.722021,02:44:51,2024-02-16,night
Bremen Eggestedter Straße,53.191589,8.561986,02:44:51,2024-02-16,night
Bremen Findorffallee,53.090284,8.813487,02:44:51,2024-02-16,night
Bremen Fellendsweg,53.051538,8.839582,02:44:51,2024-02-16,night
Bremen Fähre Farge,53.199224,8.526993,02:44:51,2024-02-16,night
Bremen Morsumer Straße,53.02783,8.818821,02:44:51,2024-02-16,night
Bremen Am Geestkamp,53.147399,8.711405,02:44:51,2024-02-16,night
Bremen Am Fuchsberg,53.129774,8.743113,02:44:51,2024-02-16,night
Bremen Müdener Straße,53.074036,8.875811,02:44:51,2024-02-16,night
Bremen Am Großen Kuhkamp,53.048153,8.950356,02:44:51,2024-02-16,night
Bremen Am Fillerkamp,53.198973,8.5539,02:44:51,2024-02-16,night
Bremen Robert-Koch-Straße,53.043,8.824685,02:44:51,2024-02-16,night
Bremen Theater am Goetheplatz,53.072382,8.816868,02:44:51,2024-02-16,night
Bremen Weserpark-Süd,53.046294,8.957571,02:44:51,2024-02-16,night
Bremen Theodor-Heuss-Allee,53.088125,8.808212,02:44:51,2024-02-16,night
Bremen Knoops Park,53.165632,8.67699,02:44:51,2024-02-16,night
Bremen Kluvenhagener Straße,53.038307,8.939628,02:44:51,2024-02-16,night
