stop_name,stop_lat,stop_lon,Haltestelle,currentSpeed,freeFlowSpeed
Bremen Mercedes-Benz Tor 8,53.065007,8.914263,Bremen Mercedes-Benz Tor 8,32.0,46.0
Bremen-Burg(Bus),53.16061,8.704381,Bremen-Burg(Bus),29.0,44.0
Bremen Steubenstraße,53.071445,8.863627,Bremen Steubenstraße,16.0,16.0
Bremen Dietrich-Bonhoeffer-Straße,53.078614,8.903285,Bremen Dietrich-Bonhoeffer-Straße,24.0,35.0
Bremen Glockenstraße/Bf Hemelingen,53.055964,8.888368,Bremen Glockenstraße/Bf Hemelingen,26.0,36.0
Bremen Gottfried-Menken-Straße,53.062116,8.801724,Bremen Gottfried-Menken-Straße,23.0,37.0
Bremen Mülheimer Straße,53.074913,8.925897,Bremen Mülheimer Straße,120.0,120.0
Bremen An der Lehmkuhle,53.193711,8.566023,Bremen An der Lehmkuhle,42.0,42.0
Bremen Mühlenfeldstraße,53.089905,8.93411,Bremen Mühlenfeldstraße,36.0,36.0
Bremen Lise-Meitner-Straße,53.103608,8.855622,Bremen Lise-Meitner-Straße,28.0,47.0
Bremen Achterdiek,53.089206,8.900648,Bremen Achterdiek,33.0,33.0
Bremen Agnes-Heineken-Straße,53.038759,8.832342,Bremen Agnes-Heineken-Straße,29.0,42.0
Bremen Berliner Freiheit,53.079384,8.893002,Bremen Berliner Freiheit,23.0,34.0
Bremen Beim Kleinen Tagwerk,53.09658,8.909506,Bremen Beim Kleinen Tagwerk,39.0,47.0
Bremen Beim Bohnenhof,53.051383,8.949641,Bremen Beim Bohnenhof,37.0,44.0
Bremen Berufsbildungswerk,53.102639,8.859212,Bremen Berufsbildungswerk,26.0,34.0
Schwanewede Insterburger Weg,53.219785,8.589594,Schwanewede Insterburger Weg,35.0,49.0
Bremen Landrat-Berthold-Straße,53.197066,8.571969,Bremen Landrat-Berthold-Straße,32.0,50.0
Bremen Ringofenstraße,53.207153,8.578497,Bremen Ringofenstraße,32.0,50.0
Bremen Wätjens Park,53.17999,8.588774,Bremen Wätjens Park,55.0,55.0
