stop_lat,stop_lon,Haltestelle,currentSpeed,freeFlowSpeed,Verkehrsauslastung in %
53.068245,8.938981,Bremen Grenzwehr,27.0,38.0,0.2895
53.086163,8.896131,Bremen Neue Vahr Nord,112.0,112.0,0.0
53.168762,8.695165,Bremen Stehnckenshoff,25.0,35.0,0.2857
53.04662,8.859413,Bremen Staustraße,33.0,38.0,0.1316
53.056921,8.72305,Bremen Mittelshuchtinger Dorfstraße,35.0,52.0,0.3269
53.094139,8.914759,Bremen Modersohnweg,48.0,48.0,0.0
53.114889,8.837954,Bremen Stadtwaldsee,52.0,52.0,0.0
53.064636,8.797028,Bremen Meyerstraße,20.0,38.0,0.4737
53.055847,8.795915,Bremen Paul-Feller-Straße,20.0,20.0,0.0
53.044673,8.915057,Bremen Nauheimer Straße,43.0,43.0,0.0
53.066911,8.782459,Bremen Neuenlander Straße,30.0,30.0,0.0
53.041521,8.931657,Bremen Eppenhainer Straße,43.0,43.0,0.0
53.066433,8.95569,Bremen Engadiner Straße,23.0,40.0,0.425
53.069544,8.93453,Bremen Emmentaler Straße,46.0,46.0,0.0
53.077937,8.920951,Bremen Erkelenzer Straße,120.0,120.0,0.0
53.172469,8.67981,Bremen Zum Kränholm,30.0,45.0,0.3333
53.05814,8.735178,Bremen Zum Huchtinger Bahnhof,28.0,52.0,0.4615
53.181632,8.567805,Bremen Zum Donaufleet,38.0,50.0,0.24
53.068065,8.84893,Bremen Stader Straße/Hamburger Straße,21.0,32.0,0.3438
53.040671,8.904561,Bremen Stackkamp,32.0,41.0,0.2195
53.082555,8.860005,Bremen Loignystraße,44.0,51.0,0.1373
53.184836,8.59781,Bremen Löhstraße,29.0,44.0,0.3409
53.09316,8.803987,Bremen Lohmannstraße,29.0,39.0,0.2564
53.128701,8.729345,Bremen Oslebshauser Landstraße,61.0,61.0,0.0
53.051864,8.740732,Bremen Obervielander Straße,23.0,42.0,0.4524
53.062134,8.931654,Bremen Oewerweg,25.0,35.0,0.2857
53.027399,8.802063,Brinkum(Stuhr) IKEA/Marktkauf,58.0,64.0,0.0938
53.21403,8.583092,Bremen Rastenburger Straße,40.0,51.0,0.2157
53.078596,8.823672,Bremen Am Dobben,21.0,21.0,0.0
53.085023,8.849847,Bremen Kirchbachstraße,26.0,35.0,0.2571
53.21098,8.579634,Bremen Hohenbuchener Straße,40.0,51.0,0.2157
53.115513,8.894018,Bremen Höger Weg,32.0,40.0,0.2
