StartDate,Aktuelle Uhrzeit,Wochentag,Feiertag,Startzeit an der Anfangshaltestelle,Linie,Anzahl Haltestellen,Richtung,Anzahl Baustellen,Haltestelle,StopSequence,Ankunftsverspaetung in Sek.,Abfahrtsverspaetung in Sek.
2024-02-03,20:12:28,Saturday,0,19:46:00,25,39.0,Osterholz,1.0,Bremen Bottroper Straße,33.0,-7,-7
2024-02-03,20:12:28,Saturday,0,19:46:00,25,39.0,Osterholz,1.0,Bremen Einkaufszentrum Blockdiek,34.0,23,23
2024-02-03,20:12:28,Saturday,0,20:10:00,27E,11.0,Huckelriede,0.0,Brinkum(Stuhr) IKEA/Marktkauf,,0,0
2024-02-03,20:12:28,Saturday,0,20:11:00,27E,11.0,Brinkum-Nord / IKEA-Marktkauf,0.0,Bremen Huckelriede,,0,0
2024-02-03,20:12:28,Saturday,0,19:46:00,26,53.0,Überseestadt,0.0,Bremen Klinikum Haupteingang,,0,0
2024-02-03,20:12:28,Saturday,0,19:46:00,26,53.0,Überseestadt,0.0,Bremen Kattenturm-Mitte,2.0,35,35
2024-02-03,20:12:28,Saturday,0,19:46:00,26,53.0,Überseestadt,0.0,Bremen Gemeinschaftszentrum Obervieland,3.0,41,41
2024-02-03,20:12:28,Saturday,0,19:46:00,26,53.0,Überseestadt,0.0,Bremen Brenningstraße,4.0,99,99
2024-02-03,20:12:28,Saturday,0,19:46:00,26,53.0,Überseestadt,0.0,Bremen Carsten-Dreßler-Straße,6.0,103,103
2024-02-03,20:12:28,Saturday,0,19:46:00,26,53.0,Überseestadt,0.0,Bremen In der Laake,7.0,130,130
2024-02-03,20:12:28,Saturday,0,19:46:00,26,53.0,Überseestadt,0.0,Bremen Schlehenweg,15.0,100,100
2024-02-03,20:12:28,Saturday,0,19:46:00,26,53.0,Überseestadt,0.0,Bremen Friedrich-Engels-Straße,16.0,130,130
2024-02-03,20:12:28,Saturday,0,19:46:00,26,53.0,Überseestadt,0.0,Bremen Habenhauser Brückenstraße,17.0,130,100
2024-02-03,20:12:28,Saturday,0,19:46:00,26,53.0,Überseestadt,0.0,Bremen Fontanestraße,18.0,70,70
2024-02-03,20:12:28,Saturday,0,19:46:00,26,53.0,Überseestadt,0.0,Bremen Fellendsweg,19.0,100,100
2024-02-03,20:12:28,Saturday,0,19:46:00,26,53.0,Überseestadt,0.0,Bremen August-Hinrichs-Straße,25.0,100,10
2024-02-03,20:12:28,Saturday,0,19:46:00,26,53.0,Überseestadt,0.0,Bremen Gottfried-Menken-Straße,26.0,13,13
2024-02-03,20:12:28,Saturday,0,19:46:00,26,53.0,Überseestadt,0.0,Bremen Hauptbahnhof,35.0,13,0
2024-02-03,20:12:28,Saturday,0,19:46:00,26,53.0,Überseestadt,0.0,Bremen Silbermannstraße,50.0,-30,-30
2024-02-03,20:12:28,Saturday,0,19:46:00,26,53.0,Überseestadt,0.0,Bremen Ehrenfelsstraße,51.0,0,0
2024-02-03,20:12:28,Saturday,0,20:06:00,26,53.0,Überseestadt,0.0,Bremen Klinikum Haupteingang,,0,117
2024-02-03,20:12:28,Saturday,0,20:06:00,26,53.0,Überseestadt,0.0,Bremen Kattenturm-Mitte,2.0,147,147
2024-02-03,20:12:28,Saturday,0,20:06:00,26,53.0,Überseestadt,0.0,Bremen Gemeinschaftszentrum Obervieland,3.0,117,117
2024-02-03,20:12:28,Saturday,0,20:06:00,26,53.0,Überseestadt,0.0,Bremen Brenningstraße,4.0,210,210
2024-02-03,20:12:28,Saturday,0,20:06:00,26,53.0,Überseestadt,0.0,Bremen Carsten-Dreßler-Straße,6.0,180,180
2024-02-03,20:12:28,Saturday,0,20:06:00,26,53.0,Überseestadt,0.0,Bremen In der Laake,7.0,210,210
2024-02-03,20:12:28,Saturday,0,20:06:00,26,53.0,Überseestadt,0.0,Bremen Schlehenweg,15.0,180,180
2024-02-03,20:12:28,Saturday,0,20:06:00,26,53.0,Überseestadt,0.0,Bremen Friedrich-Engels-Straße,16.0,210,210
2024-02-03,20:12:28,Saturday,0,20:06:00,26,53.0,Überseestadt,0.0,Bremen Habenhauser Brückenstraße,17.0,210,180
2024-02-03,20:12:28,Saturday,0,20:06:00,26,53.0,Überseestadt,0.0,Bremen Fontanestraße,18.0,150,150
2024-02-03,20:12:28,Saturday,0,20:06:00,26,53.0,Überseestadt,0.0,Bremen Fellendsweg,19.0,180,180
2024-02-03,20:12:28,Saturday,0,20:06:00,26,53.0,Überseestadt,0.0,Bremen August-Hinrichs-Straße,25.0,180,90
2024-02-03,20:12:28,Saturday,0,20:06:00,26,53.0,Überseestadt,0.0,Bremen Hauptbahnhof,35.0,90,0
2024-02-03,20:12:28,Saturday,0,20:06:00,26,53.0,Überseestadt,0.0,Bremen Silbermannstraße,50.0,-30,-30
2024-02-03,20:12:28,Saturday,0,20:06:00,26,53.0,Überseestadt,0.0,Bremen Ehrenfelsstraße,51.0,0,0
2024-02-03,20:12:28,Saturday,0,19:06:00,26,53.0,Überseestadt,0.0,Bremen Delmestraße,29.0,233,234
2024-02-03,20:12:28,Saturday,0,19:06:00,26,53.0,Überseestadt,0.0,Bremen Pappelstraße,30.0,115,116
2024-02-03,20:12:28,Saturday,0,19:06:00,26,53.0,Überseestadt,0.0,Bremen Hochschule Bremen,31.0,57,58
2024-02-03,20:12:28,Saturday,0,19:06:00,26,53.0,Überseestadt,0.0,Bremen Westerstraße,32.0,-1,0
2024-02-03,20:12:28,Saturday,0,19:06:00,26,53.0,Überseestadt,0.0,Bremen Am Brill (Bgm.-Smidt-Straße),33.0,183,214
2024-02-03,20:12:28,Saturday,0,19:06:00,26,53.0,Überseestadt,0.0,Bremen Am Wall,34.0,270,270
2024-02-03,20:12:28,Saturday,0,19:06:00,26,53.0,Überseestadt,0.0,Bremen Hauptbahnhof,35.0,237,161
2024-02-03,20:12:28,Saturday,0,19:06:00,26,53.0,Überseestadt,0.0,Bremen Messe-Zentrum,36.0,190,190
2024-02-03,20:12:28,Saturday,0,19:06:00,26,53.0,Überseestadt,0.0,Bremen Findorffallee,38.0,301,301
2024-02-03,20:12:28,Saturday,0,19:06:00,26,53.0,Überseestadt,0.0,Bremen Eickedorfer Straße,39.0,323,323
2024-02-03,20:12:28,Saturday,0,19:06:00,26,53.0,Überseestadt,0.0,Bremen Fürther Straße,41.0,277,277
2024-02-03,20:12:28,Saturday,0,19:06:00,26,53.0,Überseestadt,0.0,Bremen Dithmarscher Freiheit,42.0,279,279
2024-02-03,20:12:28,Saturday,0,19:06:00,26,53.0,Überseestadt,0.0,Bremen Lange Reihe,46.0,332,332
2024-02-03,20:12:28,Saturday,0,19:06:00,26,53.0,Überseestadt,0.0,Bremen Silbermannstraße,50.0,302,302
2024-02-03,20:12:28,Saturday,0,19:06:00,26,53.0,Überseestadt,0.0,Bremen Ehrenfelsstraße,51.0,332,332
2024-02-03,20:12:28,Saturday,0,20:05:00,26,53.0,Kattenturm / Klinikum LDW,0.0,Bremen Überseestadt-Nord,,0,0
2024-02-03,20:12:28,Saturday,0,20:05:00,26,53.0,Kattenturm / Klinikum LDW,0.0,Bremen Ehrenfelsstraße,1.0,-30,-30
2024-02-03,20:12:28,Saturday,0,20:05:00,26,53.0,Kattenturm / Klinikum LDW,0.0,Bremen Silbermannstraße,2.0,0,0
2024-02-03,20:12:28,Saturday,0,20:05:00,26,53.0,Kattenturm / Klinikum LDW,0.0,Bremen Lange Reihe,7.0,-30,-30
2024-02-03,20:12:28,Saturday,0,20:05:00,26,53.0,Kattenturm / Klinikum LDW,0.0,Bremen Bahnhof Walle,8.0,0,0
2024-02-03,20:12:28,Saturday,0,20:05:00,26,53.0,Kattenturm / Klinikum LDW,0.0,Bremen Fontanestraße,34.0,-30,-30
2024-02-03,20:12:28,Saturday,0,20:05:00,26,53.0,Kattenturm / Klinikum LDW,0.0,Bremen Habenhauser Brückenstraße,35.0,0,0
2024-02-03,20:12:28,Saturday,0,20:05:00,26,53.0,Kattenturm / Klinikum LDW,0.0,Bremen Schlehenweg,37.0,-30,-30
2024-02-03,20:12:28,Saturday,0,20:05:00,26,53.0,Kattenturm / Klinikum LDW,0.0,Bremen Staustraße,38.0,0,0
2024-02-03,20:12:28,Saturday,0,20:05:00,26,53.0,Kattenturm / Klinikum LDW,0.0,Bremen Martin-Buber-Straße,47.0,-30,-30
2024-02-03,20:12:28,Saturday,0,20:05:00,26,53.0,Kattenturm / Klinikum LDW,0.0,Bremen Brenningstraße,48.0,0,0
2024-02-03,20:12:28,Saturday,0,19:05:00,26,53.0,Kattenturm / Klinikum LDW,0.0,Bremen Überseestadt-Nord,,0,0
2024-02-03,20:12:28,Saturday,0,19:05:00,26,53.0,Kattenturm / Klinikum LDW,0.0,Bremen Ehrenfelsstraße,1.0,-30,-30
2024-02-03,20:12:28,Saturday,0,19:05:00,26,53.0,Kattenturm / Klinikum LDW,0.0,Bremen Silbermannstraße,2.0,-22,0
2024-02-03,20:12:28,Saturday,0,19:05:00,26,53.0,Kattenturm / Klinikum LDW,0.0,Bremen Marcuskaje,3.0,10,10
2024-02-03,20:12:28,Saturday,0,19:05:00,26,53.0,Kattenturm / Klinikum LDW,0.0,Bremen Cuxhavener Straße,5.0,51,51
